District,Total_Upazila,Population(Total),Population(Male),Population(Female),Population_Total(18+Y),Literacy(Total),Literacy(Male),Literacy(Female)
Bangladesh,545,144043697,72109796,71933901,86897083,51.77,54.11,49.44
Barisal Division,40,8325666,4089508,4236158,4886947,56.75,57.62,55.93
Barguna Zila,5,892781,437413,455368,554745,57.64,59.23,56.12
Barisal Zila,10,2324310,1137210,1187100,1367132,61.24,61.88,60.63
Bhola Zila,7,1776795,884069,892726,965500,43.24,43.59,42.91
Jhalokati Zila,4,682669,329147,353522,407990,66.68,67.59,65.84
Patuakhali Zila,7,1535854,753441,782413,911589,54.07,56.24,52.01
Pirojpur Zila,7,1113257,548228,565029,679991,64.85,65.04,64.68
Chittagong Division,112,28423019,13933314,14489705,15936636,52.69,53.94,51.52
Bandarban Zila,7,388335,203350,184985,214498,35.86,40.29,30.93
Brahmanbaria Zila,9,2840498,1366711,1473787,1482899,45.29,45.74,44.88
Chandpur Zila,8,2416018,1145831,1270187,1376891,56.78,56.14,57.34
Chittagong Zila,26,7616352,3838854,3777498,4565446,58.91,61.13,56.66
Comilla Zila,16,5387288,2575018,2812270,2989200,53.32,54.08,52.65
Cox's Bazar Zila,8,2289990,1169604,1120386,1168623,39.29,40.32,38.22
Feni Zila,6,1437371,694128,743243,832318,59.63,61.11,58.28
Khagrachhari Zila,8,613917,313793,300124,349182,46.11,51.88,40.07
Lakshmipur Zila,5,1729188,827780,901408,946826,49.4,48.94,49.81
Noakhali Zila,9,3108083,1485169,1622914,1656932,51.29,51.44,51.16
Rangamati Zila,10,595979,313076,282903,353821,49.73,56.42,42.26
Dhaka Division,163,47424418,24172317,23252101,29318365,54.19,57.0,51.27
Dhaka Zila,46,12043977,6555792,5488185,8150202,70.54,73.56,66.86
Faridpur Zila,9,1912969,942245,970724,1133901,48.96,50.29,47.69
Gazipur Zila,5,3403912,1775310,1628602,2297297,62.6,65.96,58.92
Gopalganj Zila,5,1172415,577868,594547,675406,58.09,60.3,55.98
Jamalpur Zila,7,2292674,1128724,1163950,1365937,38.44,41.14,35.86
Kishoregonj Zila,13,2911907,1432242,1479665,1596742,40.87,41.51,40.25
Madaripur Zila,4,1165952,574582,591370,670823,47.97,50.11,45.93
Manikganj Zila,7,1392867,676359,716508,886296,49.2,52.59,46.05
Munshiganj Zila,6,1445660,721552,724108,889019,56.09,56.44,55.74
Mymensingh Zila,12,5110272,2539124,2571148,2928933,43.49,44.86,42.16
Narayanganj Zila,5,2948217,1521438,1426779,1852275,57.1,59.48,54.56
Narsingdi Zila,6,2224944,1102943,1122001,1273439,49.6,50.56,48.66
Netrokona Zila,10,2229642,1111306,1118336,1235198,39.44,40.88,38.03
Rajbari Zila,5,1049778,519999,529779,644362,52.28,53.98,50.63
Shariatpur Zila,6,1155824,559075,596749,644132,47.26,47.96,46.62
Sherpur Zila,5,1358325,676388,681937,795623,37.91,40.17,35.7
Tangail Zila,12,3605083,1757370,1847713,2278780,46.79,50.01,43.77
Khulna Division,64,15687759,7842533,7845226,10052150,53.23,55.72,50.75
Bagerhat Zila,9,1476090,740138,735952,931339,58.98,59.97,57.99
Chuadanga Zila,4,1129015,564819,564196,729138,45.91,46.88,44.93
Jessore Zila,8,2764547,1386293,1378254,1783003,56.52,59.38,53.65
Jhenaidah Zila,6,1771304,886402,884902,1135561,48.4,50.45,46.35
Khulna Zila,14,2318527,1175686,1142841,1512516,60.14,64.32,55.85
Kushtia Zila,6,1946838,973518,973320,1251894,46.33,47.88,44.79
Magura Zila,4,918419,454739,463680,560997,50.64,52.87,48.48
Meherpur Zila,3,655392,324634,330758,432974,46.27,46.87,45.69
Narail Zila,3,721668,353527,368141,434039,61.27,63.34,59.31
Satkhira Zila,7,1985959,982777,1003182,1280689,52.07,56.11,48.15
Rajshahi Division,70,18484858,9256910,9227948,11739270,48.05,50.5,45.6
Bogra Zila,12,3400874,1708806,1692068,2207518,49.38,52.86,45.89
Joypurhat Zila,5,913768,459284,454484,612493,57.48,61.39,53.55
Naogaon Zila,11,2600157,1300227,1299930,1722497,48.22,51.29,45.17
Natore Zila,6,1706673,854183,852490,1108913,49.59,51.9,47.29
Chapai Nawabganj Zila,5,1647521,810218,837303,982769,42.94,41.55,44.27
Pabna Zila,9,2523179,1262934,1260245,1556597,46.72,47.83,45.61
Rajshahi Zila,13,2595197,1309890,1285307,1700197,52.98,55.84,50.09
Sirajganj Zila,9,3097489,1551368,1546121,1848286,42.05,45.11,39.0
Rangpur Division,58,15787758,7881824,7905934,9572674,47.19,50.6,43.82
Dinajpur Zila,13,2990128,1508670,1481458,1872589,52.42,55.68,49.12
Gaibandha Zila,7,2379255,1169127,1210128,1442591,42.81,46.29,39.5
Kurigram Zila,9,2069273,1010442,1058831,1241455,42.52,46.49,38.8
Lalmonirhat Zila,5,1256099,628799,627300,741118,46.09,49.3,42.89
Nilphamari Zila,6,1834231,922964,911267,1069443,44.37,47.59,41.13
Panchagarh Zila,5,987644,496725,490919,586211,51.77,55.21,48.32
Rangpur Zila,8,2881086,1443816,1437270,1787533,48.55,51.25,45.86
Thakurgaon Zila,5,1390042,701281,688761,831734,48.71,52.97,44.4
Sylhet Division,38,9910219,4933390,4976829,5391041,45.01,46.96,43.1
Habiganj Zila,8,2089001,1025591,1063410,1132866,40.53,42.22,38.94
Maulvibazar Zila,7,1919062,944728,974334,1085084,51.1,52.74,49.53
